title,price,link
Argentina Billete 100 Pesos 1983 P-315/BOT-2623 UNC (Reposicion),"$40,00",https://www.argcollectibles.com/producto/argentina-billete-100-pesos-1983-p-315-bot-2623-unc-reposicion/
Argentina Billete 100 Pesos 1983 P-315/BOT-2623 AU (Reposicion),"$35,00",https://www.argcollectibles.com/producto/argentina-billete-100-pesos-1983-p-315-bot-2623-au-reposicion/
Argentina Billete 100 Pesos 1983 P-315/BOT-2623 XF (Reposicion),"$20,00",https://www.argcollectibles.com/producto/argentina-billete-100-pesos-1983-p-315-bot-2623-xf-reposicion/
Argentina Billete 100 Pesos 1983 P-315/BOT-2621 AU (Serie A),"$2,00",https://www.argcollectibles.com/producto/argentina-billete-100-pesos-1983-p-315-bot-2621-au-serie-a/
Argentina Billete 50 Pesos 1985 P-314/BOT-2619a UNC (Serie A),"$1,00",https://www.argcollectibles.com/producto/argentina-billete-50-pesos-1985-p-314-bot-2619a-unc-serie-a/
Argentina Billete 50 Pesos 1983 P-314/BOT-2618 AU (Reposicion),"$20,00",https://www.argcollectibles.com/producto/argentina-billete-50-pesos-1983-p-314-bot-2618-au-reposicion/
Argentina Billete 50 Pesos 1983 P-314/BOT-2617 AU (Serie A),"$1,00",https://www.argcollectibles.com/producto/argentina-billete-50-pesos-1983-p-314-bot-2617-au-serie-a/
Argentina Billete 10 Pesos 1984 P-313/BOT-2616a XF+ (Reposicion),"$12,00",https://www.argcollectibles.com/producto/argentina-billete-10-pesos-1984-p-313-bot-2616a-xf-reposicion/
Argentina Billete 10 Pesos 1984 P-313/BOT-2616 UNC (Reposicion),"$50,00",https://www.argcollectibles.com/producto/argentina-billete-10-pesos-1984-p-313-bot-2616-unc-reposicion/
Argentina Billete 10 Pesos 1984 P-313/BOT-2615 AU (Serie B),"$1,00",https://www.argcollectibles.com/producto/argentina-billete-10-pesos-1984-p-313-bot-2615-au-serie-b/
Argentina Billete 10 Pesos 1984 P-313/BOT-2614a UNC (Serie A),"$10,00",https://www.argcollectibles.com/producto/argentina-billete-10-pesos-1984-p-313-bot-2614a-unc-serie-a/
Argentina Billete 10 Pesos 1984 P-313/BOT-2614a XF+ (Serie A),"$5,00",https://www.argcollectibles.com/producto/argentina-billete-10-pesos-1984-p-313-bot-2614a-xf-serie-a/
Argentina Billete 10 Pesos 1984 P-313/BOT-2614 UNC (Serie A),"$1,00",https://www.argcollectibles.com/producto/argentina-billete-10-pesos-1984-p-313-bot-2614-unc-serie-a/
Argentina Billete 10 Pesos 1983 P-313/BOT-2613 UNC (Reposicion),"$20,00",https://www.argcollectibles.com/producto/argentina-billete-10-pesos-1983-p-313-bot-2613-unc-reposicion/
Argentina Billete 10 Pesos 1984 P-313/BOT-2612 XF+ (Serie A),"$2,00",https://www.argcollectibles.com/producto/argentina-billete-10-pesos-1984-p-313-bot-2612-xf-serie-a/
Argentina Billete 10 Pesos 1983 P-313/BOT-2611 AU (Serie A),"$1,00",https://www.argcollectibles.com/producto/argentina-billete-10-pesos-1983-p-313-bot-2611-au-serie-a/
Argentina Billete 5 Pesos 1984 P-312/BOT-2610a UNC (Serie A),"$1,00",https://www.argcollectibles.com/producto/argentina-billete-5-pesos-1984-p-312-bot-2610a-unc-serie-a/
Argentina Billete 5 Pesos 1983 P-312/BOT-2609 UNC (Reposicion),"$20,00",https://www.argcollectibles.com/producto/argentina-billete-5-pesos-1983-p-312-bot-2609-unc-reposicion/
Argentina Billete 5 Pesos 1983 P-312/BOT-2609 XF (Reposicion),"$10,00",https://www.argcollectibles.com/producto/argentina-billete-5-pesos-1983-p-312-bot-2609-xf-reposicion/
Angola Billete 200 Kwanzas 2020 P-160 UNC (Polimero),"$2,50",https://www.argcollectibles.com/producto/angola-billete-200-kwanzas-2020-p-160-unc-polimero/
Argentina Billete 100 pesos P-357 / BOT-3748 XF 2011 Serie T,"$10,00",https://www.argcollectibles.com/producto/argentina-billete-100-pesos-p-357-bot-3748-xf-2011-serie-t-2/
Argentina Billete 10 pesos P-354 / BOT-3440 AU 2010 Reposicion,"$8,00",https://www.argcollectibles.com/producto/argentina-billete-10-pesos-p-354-bot-3440-au-2010-reposicion-2/
Canada Billete 1 Dolar 1973 P-85c XF+,"$4,00",https://www.argcollectibles.com/producto/canada-billete-1-dolar-1973-p-85c-xf/
Peru Billete 5.000 Soles de Oro 1981 P-117c XF+,"$4,00",https://www.argcollectibles.com/producto/peru-billete-5-000-soles-de-oro-1981-p-117c-xf/
Estados Unidos USA Billete 1 Dolar 1988 P-480a UNC (New York),"$3,00",https://www.argcollectibles.com/producto/estados-unidos-usa-billete-1-dolar-1988-p-480a-unc-new-york/
Estados Unidos USA Billete 1 Dolar 1957 P-419b VF,"$6,00",https://www.argcollectibles.com/producto/estados-unidos-usa-billete-1-dolar-1957-p-419b-vf/
Israel Billete 100 Shekels 1979 P-47 XF- (Zeev Jabotinsky),"$5,00",https://www.argcollectibles.com/producto/israel-billete-100-shekels-1979-p-47-xf-zeev-jabotinsky/
Israel-Palestina Billete 1 Pound 1948 P-15 F+,"$80,00",https://www.argcollectibles.com/producto/israel-palestina-billete-1-pound-1948-p-15-f/
Chile Billete 1.000 Pesos 1947 P-116 XF,"$40,00",https://www.argcollectibles.com/producto/chile-billete-1-000-pesos-1947-p-116-xf/
Ecuador Billete 1 Sucre 1892 P-S-172 UNC,"$40,00",https://www.argcollectibles.com/producto/ecuador-billete-1-sucre-1892-p-s-172-unc/
Honduras Billete 5 Lempiras 1962 P-51b F+,"$40,00",https://www.argcollectibles.com/producto/honduras-billete-5-lempiras-1962-p-51b-f/
Polonia Billete 2 Zlotych 1936 P-76 AU,"$30,00",https://www.argcollectibles.com/producto/polonia-billete-2-zlotych-1936-p-76-au/
Checoslovaquia Billete 100 Korun 1945 P-63 UNC,"$120,00",https://www.argcollectibles.com/producto/checoslovaquia-billete-100-korun-1945-p-63-unc/
Bolivia Billlete 10 Bolivianos 1911(1929) P-114a XF-,"$50,00",https://www.argcollectibles.com/producto/bolivia-billlete-10-bolivianos-19111929-p-114a-xf/
Haiti Billete 5 Gourdes 1992 P-261 AU,"$8,00",https://www.argcollectibles.com/producto/haiti-billete-5-gourdes-1992-p-261-au/
Chile Billete 1/2 Escudo 1962 P-134 UNC (Inostroza-Barrios),"$4,00",https://www.argcollectibles.com/producto/chile-billete-1-2-escudo-1962-p-134-unc-inostroza-barrios/
