id,Country,Status,War,DenomValue,DenomUnit,Year,Century,Condition,ExtraTags,Price
EL _1965_ca08dca371d9caf9d605b25327cf9d61,El Salvador,Existent,False,100.0,Colon,1965,XX,VF,,80.0
EL _1993_6ecb0064499a9c9a35299d95671ba6bd,El Salvador,Existent,False,100.0,Colon,1993,XX,XF,,80.0
EL _1997_6ab131ea4e1985af45acefbe1cabaa16,El Salvador,Existent,False,100.0,Colon,1997,XX,XF,,70.0
SUE_2016_7a43c480631a8c0c317d5373384a1279,Suecia,Existent,False,100.0,Krona,2016,XXI,UNC,,30.0
SUI_1967_e72e96ee394b188d8d2cca59438e4abd,Suiza,Existent,False,1000.0,Franco,1967,XX,VF,,500.0
SUI_1971_3ef0919eb3dd5e0d5abeba1a6272457f,Suiza,Existent,False,100.0,Franco,1971,XX,AU,,200.0
IND_1953_6170c2d33613794dc5c25294cbf347e4,Indochina Francesa,Historical Colony,False,10.0,Piastre,1953,XX,UNC,Certificado,550.0
IND_1954_3885cae6f4bebaa28b3f90069d4dde40,Indochina Francesa,Historical Colony,False,1.0,Piastre,1954,XX,UNC,Certificado,550.0
MAC_1995_68f5228d0ae627ae0d2fc22f74a10ebe,Macao,Existent,False,1000.0,Pataca,1995,XX,UNC,Certificado,450.0
CHI_1884_5c9fafb6b01a13f4855b81c99cc1349b,Chile,Existent,False,5.0,Peso,1884,XIX,UNC,Proof,800.0
URU_1934_03e633c7c92aba005ea1121f9f8f2da3,Uruguay,Existent,False,50.0,Centesimos,1934,XX,XF,,150.0
IND_2018_1ee6a085924645bff43e2907ee17eeab,India,Existent,False,6.0,Billete,2018,XXI,UNC,Numero Bajo,400.0
ESL_1945_b4b66f64a3d40bd435378af74a20cfd0,Eslovaquia,Existent,False,5.0,Koruna,1945,XX,AU,,800.0
BRA_1943_8b371b5bf3b0dec3c49adee6649aa5b9,Brasil,Existent,False,500.0,Cruzeiro,1943,XX,UNKOWN,Proof,150.0
ALE_1970_8e40da385f209a43a63c922bbc969864,Alemania,Existent,False,100.0,Marco,1970,XX,UNC,,200.0
BRA_1870_aa0e989897fc8347937dca1f51eed72d,Brasil,Existent,False,2000.0,Real,1870,XIX,F,,150.0
PAR_1886_ea7c4364930e18021341c2ac4b0ba459,Paraguay,Existent,False,50.0,Centavo,1886,XIX,F,,200.0
EST_1935_b8bc99b52e48c85bf1d103db124d89ae,Estados Unidos Usa,Existent,False,1.0,Dolar,1935,XX,XF,,150.0
BRA_2010_33ba309fa57ba192c06373fede551180,Brasil,Existent,False,2.0,Real,2010,XXI,UNC,Error,60.0
BRA_2010_c8ba08b650fd71b856abdf5e0edb7bfb,Brasil,Existent,False,5.0,Real,2010,XXI,UNC,Error,60.0
BRA_2010_6c77da22d85f040a92f61df862b069b5,Brasil,Existent,False,2.0,Real,2010,XXI,UNC,Error,100.0
URU_1887_f743fd0b7ebb50a6640215b4f632b60a,Uruguay,Existent,False,4.0,Centesimos,1887,XIX,VG,Numero Bajo FIRMADO; Numero Bajo,100.0
REP_1985_ec9e5b7351dd6b5a43f6a8b064ab1c6e,Republica Centroafricana,Existent,False,1000.0,Franco,1985,XX,UNC,,150.0
SOM_1975_9408dca1e9a3df1b8f3d8dbd1f9ecb47,Somalia,Existent,False,5.0,Shillin,1975,XX,UNC,,100.0
CAR_2008_638a52ebacdbee6132282959481fb9f6,Caribe Del Este,Existent,False,5.0,Dolar,2008,XXI,XF,,4.0
AUS_1944_2c482188c4d7de2df6986c0ffd271645,Austria,Existent,True,1.0,Shilling,1944,XX,VF,,5.0
ALE_1923_5c037f2142e657de976b0ee49471f818,Alemania,Existent,False,2000000.0,Marco,1923,XX,XF,,3.0
AND_1936_3a689cbf76e33c9fbcab2cf0c1cd4970,Andorra,Existent,False,5.0,Peseta,1936,XX,F,,250.0
ESP_1937_2808ec885182128f13cd88329a969f4b,España,Existent,False,50.0,Centavo,1937,XX,VF,,3.0
FRA_0000_6a07306b9aeb01ed1e3c80b6e5fb9ff6,Francia,Existent,False,50.0,Sols,,,F,,10.0
JAP_1871_20627c570327d60c244abaa07f6eb8a4,Japon,Existent,False,,Unknown,1871,XIX,VF,,20.0
RHO_1978_cea4cc580568b0a04eb20ad56936de69,Rhodesia,Existent,False,5.0,Dolar,1978,XX,XF,,60.0
POR_1920_9204d005523dc767d649ed3f41f77e02,Portugal,Existent,False,1.0,Escudo,1920,XX,F,,40.0
SUI_1942_c9c2114b54dc169b3c3f9ccfcd1d5f65,Suiza,Existent,False,20.0,Franchi,1942,XX,F,,40.0
GUI_1975_3dbba750dd2a35345623ed919621be1f,Guinea Bissau,Existent,False,100.0,Peso,1975,XX,AU,,50.0
SIR_1942_277c5066eba7f25bbec1c945cbddd25b,Siria,Existent,False,5.0,Piastre,1942,XX,VF,,30.0
COS_1967_e9d5122a0685e7cd5923729f331b7cfb,Costa Rica,Existent,False,2.0,Colon,1967,XX,VF,,30.0
CHI_1944_447ec12bfeed301168d4ee53cf432db7,China,Existent,True,10.0,Yuan,1944,XX,F,,30.0
RUM_1947_7e6011dd43379c9340fd494ec4c6fa09,Rumania,Existent,False,100.0,Leu,1947,XX,VF,,55.0
UCR_1942_784d9d771d7fe5dbd15d9c01488e2f10,Ucrania,Existent,True,5.0,Karbowanez,1942,XX,VF,,30.0
